mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.146040120640086,0.138248663672367,-0.0374673822750644,0.101208654863768,0.442433752322068,2.63,39,trend,MTOR,0.288,0.981794081468575
0.0393373321768506,0.328737886454046,-0.261582454736802,-0.135155188504359,0.665004491478571,9.82,25,trend2,MTOR,0.288,0.981794081468575
299.305,59.2550346733013,210,291,427.025,1.08,38,totalN[1],MTOR,0.288,0.981794081468575
281.104,54.1024052538725,172,279,395.1,1.16,55,totalN[2],MTOR,0.288,0.981794081468575
314.447,65.709671677402,186,314,466.05,1.16,56,totalN[3],MTOR,0.288,0.981794081468575
318.074,85.876220510973,143.975,336,453.05,2.18,41,totalN[4],MTOR,0.288,0.981794081468575
423.72,57.9931789851946,331.975,414,565.05,1.3,71,totalN[5],MTOR,0.288,0.981794081468575
381.592,56.5095112424525,296.95,377,498,1.23,75,totalN[6],MTOR,0.288,0.981794081468575
430.587,54.9204942775618,319.975,429.5,544,1.56,78,totalN[7],MTOR,0.288,0.981794081468575
531.174000000001,77.5058377083873,417.925,518,722.05,1.12,79,totalN[8],MTOR,0.288,0.981794081468575
443.132,76.9706116063206,271,438,608,1.53,62,totalN[9],MTOR,0.288,0.981794081468575
416.84,192.905896968146,90.975,422,658.4,1.31,327,totalN[10],MTOR,0.288,0.981794081468575
370.513,49.279329168357,279,367.5,474.1,1.38,96,totalN[11],MTOR,0.288,0.981794081468575
472.249,81.2605209881851,365.975,452,689.025,1.39,89,totalN[12],MTOR,0.288,0.981794081468575
460.245,115.435776054884,343,426,818.05,2.15,52,totalN[13],MTOR,0.288,0.981794081468575
388.001,82.5791881851676,278,369,607.05,1.83,94,totalN[14],MTOR,0.288,0.981794081468575
358.166,80.7791787512086,235.925,352,544.075,1.4,45,totalN[15],MTOR,0.288,0.981794081468575
0.162295758481812,0.0277331409892969,0.108824106384303,0.158914515983581,0.222197177945061,1.14,55,anndet[1],MTOR,0.288,0.981794081468575
0.151453132375706,0.0300097259918576,0.102408757261644,0.148483230053987,0.235152009832841,1.22,52,anndet[2],MTOR,0.288,0.981794081468575
