LocationID,MajorPoint,Point,FOREST,Route,Sequence,Eastings,Northings,Type,Habitat_Code,Altitude,Range,Locality,rainGauge,COMMENT
29,29,29,CH,,,376920.4,1852677.34,GPS,mesf,150,<200,Gunhill,Olveston,
30,30,30,CH,,,377280.67,1853139.44,GPS,mesf,113,,Fogarthy,Mars Hill,
31,31,31,CH,,,377551.18,1853052.1,GPS,wetf,465,401-500,Fogarthy,Mars Hill,
32,32,32,CH,,,377925.28,1853283.18,GPS,mesf,280,201-300,Soldier's,Mars Hill,
33,33,33,CH,7,6,378324,1853157,GPS2011,wetf,448,401-500,Soldier's,Mars Hill,
34,34,34,CH,6,8,379383,1853358,GPS2011,mesf,414,301-400,Barzey's,Ginger Ground,
35,35,35,CH,6,9,379104,1853664,GPS2011,mesf,345,301-400,Barzey's,Ginger Ground,
36,36,36,CH,5,1,379513,1853299,GPS2011,mesf,312,201-300,Bottomles,Ginger Ground,
37,37,37,CH,5,7,379765,1853173,GPS2011,mesf,284,201-300,Bottomles,Ginger Ground,
38,38,38,CH,,,380243.65,1853236.51,GPS,mesf,340,301-400,Far Mount,Ginger Ground,
39,39,39,CH,,,376199.51,1853072.9,GPS,dryf,60,<200,Woodlands,St. Peters,
40,40,40,CH,,,376457.62,1852902.63,GPS,dryf,110,<200,Woodlands,St. Peters,
41,41,41,CH,,,377039.58,1852517.76,GPS,mesf,190,<200,Gunhill,Olveston,
42,44,44,CH,7,2,377937,1853293,GPS2011,mesf,268,201-300,Soldier's,Mars Hill,
43,45,45,CH,7,5,378444,1853075,GPS2011,wetf,440,401-500,Soldier's,Mars Hill,
44,46,46,CH,6,999,379028,1853996,GPS2011,mesf,303,301-400,Barzey's,Ginger Ground,
45,47,47,CH,2,7,378867,1852822,GPS2011,elff,618,501+,Katy Hill,Ginger Ground,
46,48,48,CH,5,8,379604,1852918,GPS2011,mesf,333,201-300,Big River,Ginger Ground,
47,49,49,CH,,,380134.86,1852878.12,GPS,mesf,443,401-500,Far Mount,Ginger Ground,
48,50,50,CH,9,2,380439,1852868,GPS2011,dryf,455,401-500,Jackboy,Ginger Ground,
49,51,51,CH,9,1,380729,1852967,GPS2011,dryf,327,301-400,Jackboy,Ginger Ground,
50,52,52,CH,,,376259.62,1852699.66,GPS,dryf,32,,Duberry,Mrat Community College,
51,53,53,CH,,,376687.72,1852732.51,GPS,mesf,140,<200,Woodlands,Olveston,
52,54,54,CH,,,377019.28,1852455.88,GPS,mesf,220,201-300,Gunhill,Olveston,
53,55,55,CH,,,377179.04,1852414.07,GPS,mesf,290,201-300,Gunhill,Olveston,
54,56,56,CH,4,4,377373,1852305,GPS2011,wetf,477,401-500,Jubilee H,Olveston,
55,57,57,CH,7,3,378175,1852966,GPS2011,mesf,309,301-400,Soldier's,Mars Hill,
56,58,58,CH,7,4,378593,1852694,GPS2011,mesf,359,301-400,Soldier's,Ginger Ground,
57,59,59,CH,2,6,379011,1852663,GPS2012,elff,731,501+,Katy Hill,Ginger Ground,moved in 2012 after survey to increase distance
58,60,60,CH,5,9,379568,1852633,GPS2011,mesf,371,301-400,Big River,Ginger Ground,
59,61,61,CH,9,4,379958,1852718,GPS2011,wetf,517,401-500,Jackboy,Ginger Ground,
60,62,62,CH,9,3,380360,1852747,GPS2011,wetf,498,401-500,Jackboy,Ginger Ground,
61,63,63,CH,,,380627.54,1852630.69,GPS,dryf,245,201-300,Pelican G,Ginger Ground,
62,64,64,CH,,,376175.74,1852323.14,GPS,dryf,100,<200,Runway Gh,Mrat Community College,
63,65,65,CH,,,376479.68,1852320.61,GPS,dryf,140,<200,Duberry,Mrat Community College,
64,66,66,CH,,,376694.37,1852465.51,GPS,mesf,202,201-300,Woodlands,Olveston,
65,67,67,CH,,,377131.19,1852244.36,GPS,mesf,320,301-400,Olveston,Olveston,
66,68,68,CH,4,3,377192.24,1851859.11,GPS,mesf,357,301-400,Hope,Olveston,
67,69,69,CH,11,3,377621,1851525,GPS2011,wetf,442,501+,Spring Gh,Hope,changed and marked in 2011
68,70,70,CH,11,9,378626,1852210,GPS2011,wetf,715,501+,Spring Gh,Ginger Ground,changed and marked in 2011
69,71,71,CH,11,4,377777,1851706,GPS2011,wetf,547,401-500,Spring Gh,Hope,changed and marked in 2011
70,72,72,CH,2,5,379093,1852566,GPS2011,elff,740,501+,Katy Hill,Ginger Ground,
71,73,73,CH,9,5,379973,1852580,GPS2011,mesf,460,401-500,Jackboy,Ginger Ground,moved in 2012 after survey to increase distance
72,74,74,CH,9,6,380049,1852518,GPS2011,mesf,449,401-500,Jackboy,Ginger Ground,
73,75,75,CH,9,7,380112,1852626,GPS2011,mesf,429,301-400,Jackboy,Ginger Ground,
74,76,76,CH,8,2,380877.53,1852441.46,GPS,dryf,338,301-400,Jackboy,Ginger Ground,
75,77,77,CH,8,1,381314,1852526,GPS2011,dryf,159,<200,BessieMac,Ginger Ground,
76,78,78,CH,,,376291.69,1852118.59,GPS,mesf,90,<200,Runway Gh,Mrat Community College,
77,79,79,CH,,,376608.57,1852301.97,GPS,mesf,160,<200,Duberry,Olveston,
78,80,80,CH,,,377000.5,1852303,GPS,mesf,300,201-300,Olveston,Olveston,
79,81,81,CH,4,2,377184,1851733,GPS2011,mesf,317,301-400,Hope,Hope,
80,82,82,CH,4,7,377488.72,1851568.66,GPS,wetf,530,501+,Spring Gh,Hope,
81,83,83,CH,10,6,377766,1851564,GPS2011,wetf,533,501+,Spring Gh,Hope,
82,84,84,CH,11,8,378619,1852083,GPS2011,wetf,739,401-500,,Olveston,re-set in April 2011
83,85,85,CH,2,4,379130,1852390,GPS2011,wetf,712,501+,Katy Hill,Ginger Ground,
84,86,86,CH,2,2,379607,1851965,GPS2011,wetf,615,501+,Katy Hill,Ginger Ground,
85,87,87,CH,,,379706.91,1852476.35,GPS,elff,585,501+,Katy Hill,Ginger Ground,
86,88,88,CH,,,380784.64,1852458.92,GPS,mesf,498,401-500,Jackboy,Ginger Ground,
87,89,89,CH,,,381001.86,1852112.89,GPS,dryf,262,201-300,Locust Va,Ginger Ground,
88,90,90,CH,8,3,381016,1852146,GPS2011,dryf,325,201-300,,Ginger Ground,
89,91,91,CH,,,376812.41,1852077.98,GPS,dryf,280,201-300,Olveston,Olveston,
90,92,92,CH,4,999,377191,1851706,GPS2011,mesf,300,201-300,Hope,Hope,
91,93,93,CH,11,2,377546,1851563,GPS2011,wetf,351,201-300,Spring Gh,Hope,moved upstream in April 2011
92,94,94,CH,10,7,377482,1851373,GPS2011,mesf,414,501+,Waterwork,Hope,
93,95,95,CH,10,5,378286,1851754,GPS2011,mesf,384,501+,Waterwork,Hope,
94,96,96,CH,,,378405.86,1851029.15,GPS,mesf,400,301-400,Waterwork,Hope,
95,97,97,CH,2,3,379438,1851909,GPS2011,wetf,646,501+,Katy Hill,Ginger Ground,
96,98,98,CH,2,1,379757,1852181,GPS2011,wetf,617,501+,Katy Hill,Ginger Ground,
97,99,99,CH,8,6,380291,1851927,UCP,wetf,455,501+,Fairy Wal,Ginger Ground,
98,100,100,CH,,,380600.09,1851945.95,GPS,dryf,360,301-400,Fairy Wal,Ginger Ground,
99,101,101,CH,8,4,381030,1852014,GPS2011,mesf,258,201-300,Locust Va,Ginger Ground,
100,102,102,CH,,,376802.89,1851578.11,GPS,dryf,190,<200,Nantes-Ol,Hope,
101,103,103,CH,4,999,377112,1851551,GPS2011,mesf,260,201-300,Hope,Hope,
102,104,104,CH,11,1,377288,1851388,GPS2011,mesf,271,201-300,Spring Gh,Hope,
103,105,105,CH,10,8,377251,1851196,GPS2011,mesf,284,501+,Spring Gh,Hope,
104,106,106,CH,10,4,378151,1851448,GPS2011,mesf,346,401-500,Waterwork,Hope,
105,107,107,CH,,,378358.63,1851180.35,GPS,mesf,120,<200,Waterwork,Hope,
106,108,108,CH,,,378345.27,1850910.47,GPS,mesf,95,,Waterwork,Hope,
107,109,109,CH,3,999,379738,1851637,GPS2011,mesf,377,301-400,Killiecra,Ginger Ground,
108,110,110,CH,3,7,379818,1851645,GPS2011,mesf,389,301-400,Jackboy,Ginger Ground,
109,111,111,CH,,,380348,1851642,UCP,mesf,263,201-300,Jackboy,Ginger Ground,
110,112,112,CH,8,5,380715,1852113,GPS2011,mesf,300,201-300,Locust Va,Ginger Ground,
111,113,113,CH,4,1,377049,1851513,GPS2011,mesf,244,201-300,Hope,Hope,
112,114,114,CH,10,10,377178,1850935,GPS2011,mesf,173,<200,Spring Gh,Hope,
113,115,115,CH,10,9,377271,1851082,GPS2011,mesf,207,401-500,Spring Gh,Hope,
114,116,116,CH,10,3,377929,1851068,GPS2011,mesf,256,401-500,Waterwork,Hope,
115,117,117,CH,,,378290.64,1850981.73,GPS,mesf,385,301-400,Waterwork,Hope,
116,118,118,CH,,,378298.76,1850806.72,GPS,mesf,350,301-400,Waterwork,Hope,
117,119,119,CH,3,4,379411,1851425,UCP,mesf,447,,Killiecra,Ginger Ground,
118,120,120,CH,3,6,379774,1851542,GPS2011,mesf,336,201-300,Killiecra,Ginger Ground,
119,121,121,CH,8,8,380427,1851378,GPS2011,mesf,271,201-300,Fairy Wal,Ginger Ground,
120,122,122,CH,8,999,380507,1851464,GPS2011,mesf,241,201-300,Fairy Wal,Ginger Ground,
121,123,123,CH,8,7,380492,1851541,GPS2011,mesf,248,<200,Locust Va,Ginger Ground,
122,124,124,CH,10,11,377137,1850741,GPS2011,mesf,132,<200,Spring Gh,Hope,
123,125,125,CH,10,999,377124,1850691,GPS2011,mesf,136,301-400,Spring Gh,Hope,
124,126,126,CH,10,2,377509,1850714,GPS2011,mesf,181,301-400,Waterwork,Hope,
125,127,127,CH,,,378118.47,1850942.6,GPS,mesf,320,301-400,Waterwork,Hope,
126,128,128,CH,,,378451.5,1850760.97,GPS,dryf,350,301-400,Waterwork,Hope,
127,129,129,CH,3,3,379253,1850994,GPS2011,mesf,357,301-400,Killiecra,Hope,
326,174,174,CH,3,1,377929,1850618,GPS2013,mesf,218,,,Hope,
327,176,176,CH,4,8,377701,1852782,GPS2013,wetf,560,501+,Lawyers Mtn,Mars Hill,
328,177,177,CH,4,9,377566,1853056,GPS2013,wetf,510,501+,Lawyers Mtn,Mars Hill,
325,175,175,CH,6,4,378837,1853576,GPS2013,mesf,335,,,Ginger Ground,
