Estimate,SE,z,P(>|z|),Parameter,Component
0.940271816872165,0.3227538087791,2.91327876324369,0.00357655167191743,(Intercept),Initial Occupancy
-1.35548953657474,0.641933624587877,-2.11157273066194,0.0347231135561612,alt:treeheight,Initial Occupancy
-1.51534221915202,0.13211513558522,-11.4698608334286,1.8695970915085e-30,(Intercept),Detection probability
-0.113134584115182,0.0485447282597712,-2.33052255457647,0.0197785493644093,day,Detection probability
0.087625717072783,0.0499550720303254,1.75409049594783,0.0794150019319265,time,Detection probability
0.177673126200487,0.0474972979069207,3.74069966145587,0.000183508701359961,rain,Detection probability
0.061902108802239,0.0944260823990368,0.655561548562883,0.512106272708566,windlow,Detection probability
3.76676113896702,0.256348675426591,14.6938974141323,7.05372767551327e-49,activity,Detection probability
-0.128041071187813,0.0472263178324095,-2.71122283219684,0.00670355592546565,ridge,Detection probability
-0.254814807561168,0.249692081095636,-1.0205161751348,0.307483721954712,(Intercept),Colonization
0.779384587070899,0.292935283526322,2.66060331718581,0.00780007925426079,alt,Colonization
-2.72615552213486,0.256304458569079,-10.6363952361762,2.01785641804342e-26,(Intercept),Extinction
-0.430346429630371,0.305278393647333,-1.40968518763736,0.15863266039196,alt,Extinction
